"Symbol: ZSY00",,,,,,,"Study: BBANDS (20, 2, 0, ...)",,,"Study: BBANDS (20, 2, 0, ...)",,,"Study: MA (20, Close, 0)","Study: MA (55, Close, 0)","Study: MA (200, Close, 0)","Study: TCHRE (100, Long, 5, ...)","Study: VOL (LikeMain)",,"Study: DOSC (14, 5, 3, ...)",
"Date Time","Symbol","Open","High","Low","Close","Change","Bollinger-Upper","Bollinger-Mid","Bollinger-Lower","Bollinger-Upper","Bollinger-Mid","Bollinger-Lower","MA-Simple","MA-Simple","MA-Simple","TurtleChnRetrace","Volume","Open Interest","Derivative Oscillator","Derivative Oscillator Signal"
2001-03-01,ZSY00,445.5,451,416,416,-25.5,517.8886546609275,467.075,416.2613453390725,517.8886546609275,467.075,416.2613453390725,467.075,569.5909090909091,592.00125,877.5,76629,148190,-0.8502054805789143,0.6415342271680413
2001-04-01,ZSY00,419,430,414.5,430,14,518.8974341795825,465.675,412.4525658204174,518.8974341795825,465.675,412.4525658204174,465.675,563.8090909090909,591.01625,877.5,91632,156781,-1.365215409620376,0.19902293906115964
2001-05-01,ZSY00,429.5,451.5,429.5,448,18,518.8229932151961,465.1,411.377006784804,518.8229932151961,465.1,411.377006784804,465.1,559.9363636363636,590.32125,877.5,82762,137227,-1.088290286398852,-0.11648209925916417
2001-06-01,ZSY00,450.5,472,445.5,472,24,519.3856422586786,466.525,413.66435774132134,519.3856422586786,466.525,413.66435774132134,466.525,555.6181818181818,589.59375,877.5,104505,153192,-0.000600602843334741,-0.2170334971947625
2001-07-01,ZSY00,483.5,520,483,504.5,32.5,524.0065294650935,468.725,413.4434705349065,524.0065294650935,468.725,413.4434705349065,468.725,552.2818181818182,589.11625,877.5,143872,181193,1.7799790215157643,-0.005641152804037751
2001-08-01,ZSY00,500.5,513.5,472,474.5,-30,524.5298207232381,470.075,415.6201792767619,524.5298207232381,470.075,415.6201792767619,470.075,547.6090909090909,588.63125,877.5,97221,165629,2.676845585134785,0.2775962203544569
2001-09-01,ZSY00,471.5,471.5,427.5,427.5,-47,523.9180074855299,467.075,410.23199251447016,523.9180074855299,467.075,410.23199251447016,467.075,541.1818181818181,587.80125,877.5,76355,168305,2.1576248616396896,0.4340848393722783
2001-10-01,ZSY00,426,430,398.5,409,-18.5,524.7863607392976,463.275,401.7636392607024,524.7863607392976,463.275,401.7636392607024,463.275,533.3818181818182,587.00875,877.5,117981,195366,0.9152754755554255,0.4772100021705149
2001-11-01,ZSY00,410.625,435,410.625,431.625,22.625,516.7455604284248,459.00625,401.2669395715753,516.7455604284248,459.00625,401.2669395715753,459.00625,525.3204545454546,586.189375,877.5,91830,175522,0.24118944352060367,0.4962891786583101
2001-12-01,ZSY00,435,435.625,413.625,413.625,-18,510.4058240358834,454.2375,398.0691759641166,510.4058240358834,454.2375,398.0691759641166,454.2375,516.8863636363636,585.32,877.5,84409,164459,-0.5792810406454407,0.5263918942064739
2002-01-01,ZSY00,410,440,410,419.625,6,505.07524978502096,450.41875,395.762250214979,505.07524978502096,450.41875,395.762250214979,450.41875,510.70681818181816,584.600625,877.5,102744,156898,-1.1616996597036362,0.5490047553083338
2002-02-01,ZSY00,416.625,442,416.625,427.625,8,502.9099716428759,448.25,393.5900283571241,502.9099716428759,448.25,393.5900283571241,448.25,504.9909090909091,583.95375,877.5,94729,169241,-1.316578476968651,0.5236394008005784
2002-03-01,ZSY00,437,463.625,435.625,463.625,36,504.296389741139,449.30625,394.31611025886093,504.296389741139,449.30625,394.31611025886093,449.30625,500.8568181818182,583.699375,877.5,106565,169881,-0.3030796351722387,0.4900306194307002
2002-04-01,ZSY00,462.625,469.625,445.625,454,-9.625,501.40161501655973,448.05625,394.7108849834402,501.40161501655973,448.05625,394.7108849834402,448.05625,497.9931818181818,583.424375,877.5,112603,164388,0.7570147694300715,0.3763679247545121
2002-05-01,ZSY00,453,504.625,451.625,504.625,50.625,508.6967901639714,450.1625,391.62820983602865,508.6967901639714,450.1625,391.62820983602865,450.1625,494.7409090909091,583.4875,877.5,95225,156547,2.7866594594047243,0.3885694663400609
2002-06-01,ZSY00,500,530.625,485,530.625,26,522.6000765691962,454.49375,386.3874234308038,522.6000765691962,454.49375,386.3874234308038,454.49375,491.4431818181818,583.630625,877.5,131041,188691,5.03114973444643,0.7078500077630321
2002-07-01,ZSY00,541.625,588.625,529.625,557.625,27,538.4262577541494,457.925,377.4237422458506,538.4262577541494,457.925,377.4237422458506,457.925,489.4727272727273,583.94375,877.5,160067,220757,7.076047956808509,1.3923802834578192
2002-08-01,ZSY00,560.625,594,538,560.625,3,553.0224973599852,461.58125,370.1400026400148,553.0224973599852,461.58125,370.1400026400148,461.58125,487.5386363636364,584.131875,877.5,122399,201493,8.414031184429952,2.300473810225524
2002-09-01,ZSY00,562.625,589.625,526.625,526.625,-34,560.9831463731757,465.6625,370.3418536268244,560.9831463731757,465.6625,370.3418536268244,465.6625,485.34090909090907,584.1225,877.5,100251,201808,7.927066769900897,3.2456235669528954
2002-10-01,ZSY00,522,545,501,543.625,17,571.1709186456523,470.76875,370.3665813543477,571.1709186456523,470.76875,370.3665813543477,470.76875,483.6068181818182,584.205625,877.5,129143,210032,6.986168845846514,4.150942289791801
2002-11-01,ZSY00,556.625,567.625,553,565,21.375,583.264301875127,478.21875,373.173198124873,583.264301875127,478.21875,373.173198124873,478.21875,482.3431818181818,584.365625,877.5,109636,207530,6.175770468650249,4.983425505971678
2002-12-01,ZSY00,569.625,569.625,549.625,560.625,-4.375,593.1801042146507,484.75,376.31989578534933,593.1801042146507,484.75,376.31989578534933,484.75,481.2909090909091,584.48125,877.5,110321,203683,5.2031898674606865,5.595233228486448
2003-01-01,ZSY00,574,575.625,541,557.625,-3,601.7164585200095,490.23125,378.7460414799905,601.7164585200095,490.23125,378.7460414799905,490.23125,480.0204545454545,584.661875,877.5,120695,201535,4.022048439320386,5.9580147473631495
2003-02-01,ZSY00,561.625,576.625,550.625,569.625,12,611.4217564029192,495.1125,378.80324359708084,611.4217564029192,495.1125,378.80324359708084,495.1125,479.85,584.985,877.5,128721,217680,3.1533486847048735,5.998757994618722
2003-03-01,ZSY00,569.625,573.625,556,568,-1.625,618.8379588336353,498.2875,377.7370411663647,618.8379588336353,498.2875,377.7370411663647,498.2875,480.80454545454546,585.2675,877.5,94962,226420,2.4371610570368674,5.7105370304621035
2003-04-01,ZSY00,568,618.625,568,618.625,50.625,636.2903352717493,505.49375,374.69716472825064,636.2903352717493,505.49375,374.69716472825064,505.49375,482.8340909090909,585.888125,877.5,151324,251314,2.901887894053445,5.246741467933763
2003-05-01,ZSY00,621,640.625,613.625,616,-2.625,649.001356883779,514.91875,380.83614311622114,649.001356883779,514.91875,380.83614311622114,514.91875,484.2886363636364,586.575625,877.5,130308,230324,3.495631638902182,4.700252629541789
2003-06-01,ZSY00,602.625,633,601.625,612,-4,656.2451692557107,525.06875,393.8923307442893,656.2451692557107,525.06875,393.8923307442893,525.06875,484.87954545454545,587.208125,877.5,164131,222185,3.679174946446487,4.228264649157966
2003-07-01,ZSY00,621.625,621.625,533.625,533.625,-78.375,654.1506356476623,530.16875,406.1868643523378,654.1506356476623,530.16875,406.1868643523378,530.16875,485.0181818181818,587.42375,877.5,125976,190205,1.1175871220718463,3.5762000131830027
2003-08-01,ZSY00,541,598.625,534.625,598.625,65,654.5274832427475,539.41875,424.3100167572526,654.5274832427475,539.41875,424.3100167572526,539.41875,486.875,588.039375,877.5,113668,190533,-0.38319745009279416,2.847425799989331
2003-09-01,ZSY00,587.625,660,587.625,654.625,56,662.892328392164,551.16875,439.4451716078361,662.892328392164,551.16875,439.4451716078361,551.16875,490.83181818181816,588.9025,877.5,124563,232030,-0.37871925296553854,2.2272136754975285
2003-10-01,ZSY00,667,782.625,658,779,124.375,705.032467350229,568.7375,432.4425326497709,705.032467350229,568.7375,432.4425326497709,568.7375,496.6136363636364,590.4725,877.5,210115,265088,1.3630061313252284,1.931764530164733
2003-11-01,ZSY00,775,775,726,774,-5,738.6252979621806,584.25625,429.88720203781946,738.6252979621806,584.25625,429.88720203781946,584.25625,502.28636363636366,591.9475,877.5,161618,241319,3.054601054528945,1.9207925712562965
2003-12-01,ZSY00,749.625,779,728.5,779,5,764.7172133025457,600.50625,436.29528669745434,764.7172133025457,600.50625,436.29528669745434,600.50625,508.3863636363636,593.26,877.5,139864,252874,4.282651823837092,2.125847100900766
2004-01-01,ZSY00,783,836.625,779,809.625,30.625,797.2568780119989,615.75625,434.2556219880011,797.2568780119989,615.75625,434.2556219880011,615.75625,515.3522727272727,594.638125,877.5,145532,258708,5.3374926630915525,2.3964698530161113
2004-02-01,ZSY00,782.625,938,782.625,938,128.375,861.0731606948588,636.125,411.17683930514124,861.0731606948588,636.125,411.17683930514124,636.125,524.9977272727273,596.703125,933,190646,267481,6.90525676892122,2.775317089684893
2004-03-01,ZSY00,958,1040.625,915.625,1006.625,68.625,932.0841680364664,658.575,385.0658319635337,932.0841680364664,658.575,385.0658319635337,658.575,534.9727272727273,599.08375,1035.625,164851,263736,8.45007067116127,3.3054166146532022
2004-04-01,ZSY00,1018,1031.625,927,1014.625,8,991.4065607931575,681.275,371.1434392068424,991.4065607931575,681.275,371.1434392068424,681.275,545.0659090909091,601.691875,1035.625,186200,262918,9.147493961150062,4.197628485661893
2004-05-01,ZSY00,1021.625,1034.625,822,822,-192.625,1003.430317238632,696.04375,388.65718276136806,1003.430317238632,696.04375,388.65718276136806,696.04375,551.9477272727273,603.246875,1035.625,154546,222310,5.472197041123721,4.848227873574839
2004-06-01,ZSY00,870.625,935.625,814,881,59,1022.0140215507681,712.9125,403.81097844923187,1022.0140215507681,712.9125,403.81097844923187,712.9125,559.5931818181818,605.074375,1035.625,140694,199108,1.5457388563772128,5.0620565523907
2004-07-01,ZSY00,905,947,588.625,588.625,-292.375,1021.0986753981929,714.09375,407.08882460180706,1021.0986753981929,714.09375,407.08882460180706,714.09375,562.1590909090909,605.1075,1035.625,143280,172194,-4.564843210579383,4.40340662551241
2004-08-01,ZSY00,591,656.625,577,638.625,50,1019.0249098800862,717.99375,416.9625901199138,1019.0249098800862,717.99375,416.9625901199138,717.99375,564.9068181818182,605.363125,1035.625,98226,171791,-9.384057703573028,3.0213334301677466
2004-09-01,ZSY00,645.625,645.625,492.625,496,-142.625,1023.610411598054,714.9125,406.21458840194595,1023.610411598054,714.9125,406.21458840194595,714.9125,565.1068181818182,604.885625,1035.625,95146,190006,-13.467440015026966,1.0491010036272956
2004-10-01,ZSY00,501,520.625,480,507.625,11.625,1027.4513610817748,711.8125,396.1736389182251,1027.4513610817748,711.8125,396.1736389182251,711.8125,564.9363636363636,604.33125,1035.625,144627,242653,-15.859982851732141,-1.306174053575337
2004-11-01,ZSY00,503,554.625,483.625,526.625,19,1029.6394309942111,709.74375,389.84806900578894,1029.6394309942111,709.74375,389.84806900578894,709.74375,565.2568181818182,603.799375,1035.625,126398,228699,-16.35063105111312,-3.890161589134708
2004-12-01,ZSY00,516.625,551.625,513,540.625,14,1031.9297995616917,705.84375,379.7577004383084,1031.9297995616917,705.84375,379.7577004383084,705.84375,566.0681818181819,603.1425,1035.625,132120,241904,-15.211504043886748,-6.519225446362266
2005-01-01,ZSY00,528,547,513,521.625,-19,1034.915315917044,701.125,367.3346840829561,1034.915315917044,701.125,367.3346840829561,701.125,566.9886363636364,601.920625,1035.625,134129,244196,-13.113568183386214,-8.992676795755184
2005-02-01,ZSY00,509,596,497,596,74.375,1035.0413201877077,700.325,365.6086798122924,1035.0413201877077,700.325,365.6086798122924,700.325,569.7795454545454,600.208125,1035.625,209986,266745,-9.92467744817283,-10.703440627899248
2005-03-01,ZSY00,590.625,654,590.625,605,9,1032.8977989397508,703.89375,374.8897010602491,1032.8977989397508,703.89375,374.8897010602491,703.89375,572.0704545454546,599.483125,1035.625,170878,295323,-6.51022424335288,-11.598547638980367
2005-04-01,ZSY00,589.625,627.625,589.625,608,3,1032.7914963218839,704.3625,375.9335036781161,1032.7914963218839,704.3625,375.9335036781161,704.3625,574.7159090909091,598.313125,1035.625,154019,268080,-3.635576187339659,-11.495295747509289
2005-05-01,ZSY00,611.625,667,601,667,59,1033.0795610574482,704.98125,376.8829389425519,1033.0795610574482,704.98125,376.8829389425519,704.98125,578.7704545454545,597.683125,1035.625,138489,252581,-0.8176433389901234,-10.5434719292223
2005-06-01,ZSY00,672.625,733.625,642.625,642.625,-24.375,1025.4917312412688,698.1625,370.83326875873126,1025.4917312412688,698.1625,370.83326875873126,698.1625,581.5636363636364,597.10125,1035.625,234302,313722,1.0111791035269135,-8.9347364716052
2005-07-01,ZSY00,662.625,717,662.625,668.625,26,1018.5586302354193,692.89375,367.2288697645806,1018.5586302354193,692.89375,367.2288697645806,692.89375,584.8568181818182,596.716875,1035.625,167541,278737,2.308972346724282,-6.915963671776708
2005-08-01,ZSY00,669.625,688,573,573,-95.625,1009.7409633745755,682.59375,355.4465366254245,1009.7409633745755,682.59375,355.4465366254245,682.59375,587.1840909090909,595.636875,1035.625,129321,256852,1.986976325011561,-4.878451741096189
2005-09-01,ZSY00,581.625,585.625,525,537.625,-35.375,996.501397572923,668.99375,341.4861024270769,996.501397572923,668.99375,341.4861024270769,668.99375,588.9318181818181,594.53,1035.625,101762,249030,0.7943038190197242,-3.1000286452176917
2005-10-01,ZSY00,545,547.625,515,540,2.375,956.554681207121,649.09375,341.632818792879,956.554681207121,649.09375,341.632818792879,649.09375,591.1863636363636,593.4375,1035.625,168090,285069,-0.4811336092026437,-1.6964248036417393
2005-11-01,ZSY00,550,575,537,540.625,0.625,888.7538975865688,625.79375,362.8336024134313,888.7538975865688,625.79375,362.8336024134313,625.79375,593.1977272727273,592.525625,1035.625,118655,274897,-1.4905971850716853,-0.7593047744082789
2005-12-01,ZSY00,540.625,598.625,540.625,588,47.375,797.79039665488,604.4625,411.1346033451199,797.79039665488,604.4625,411.1346033451199,604.4625,595.7431818181818,591.870625,1035.625,175726,290370,-1.512647056867479,-0.20401842035434548
2006-01-01,ZSY00,601.625,605.625,539,571.625,-16.375,757.7748288686789,591.94375,426.1126711313211,757.7748288686789,591.94375,426.1126711313211,591.94375,597.5545454545454,591.23625,1035.625,150280,315640,-1.3942641505155393,0.04501625040389001
2006-02-01,ZSY00,556,574.625,546.625,555,-16.625,675.6410085561724,575.64375,475.64649144382753,675.6410085561724,575.64375,475.64649144382753,575.64375,598.4727272727273,590.40875,1035.625,198856,359379,-1.3441027345823215,-0.013479237995243112
2006-03-01,ZSY00,553,568.625,540,547,-8,674.1235044947841,573.5625,473.00149550521587,674.1235044947841,573.5625,473.00149550521587,573.5625,599.790909090909,589.96125,1035.625,130477,354210,-1.325634883859344,-0.2731252365937162
2006-04-01,ZSY00,540.625,568,529.5,568,21,666.0635321698517,570.03125,473.9989678301484,666.0635321698517,570.03125,473.9989678301484,570.03125,602.3454545454546,589.79875,1035.625,201745,374506,-0.8339308627212034,-0.6223367043098812
2006-05-01,ZSY00,575.5,580.5,548,548,-20,663.1636155868441,572.63125,482.0988844131559,663.1636155868441,572.63125,482.0988844131559,572.63125,604.8727272727273,589.79375,1035.625,152899,375124,-0.5688424765950657,-0.9063165711550619
2006-06-01,ZSY00,556,577.5,543.5,567.5,19.5,661.1841169893659,575.625,490.0658830106341,661.1841169893659,575.625,490.0658830106341,575.625,607.3431818181818,589.89625,1035.625,222109,371154,-0.12086164669022992,-1.0080016229006123
2006-07-01,ZSY00,573.5,577,527,542.5,-25,660.4252703942527,576.41875,492.4122296057473,660.4252703942527,576.41875,492.4122296057473,576.41875,609.6863636363636,589.75125,1035.625,179745,336000,-0.12560515851333776,-0.9684984617129118
