"Symbol: ZCY00",,,,,,,"Study: VOL (LikeMain)",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1984-10-01,ZCY00,284.5,294,276.5,278.5,-9,50146,147476
1984-11-01,ZCY00,282.5,282.5,269.25,275.25,-3.25,65796,136655
1984-12-01,ZCY00,259.25,276.25,259.25,275.25,0,48786,125850
1985-01-01,ZCY00,276.75,281.75,276.25,280.5,5.25,44331,133406
1985-02-01,ZCY00,279.5,285.75,274,277.25,-3.25,49881,131147
1985-03-01,ZCY00,277.75,289,277.75,288.25,11,52305,118459
1985-04-01,ZCY00,290.5,291.75,286,288.25,0,49678,126016
1985-05-01,ZCY00,287.75,288.75,280,281.5,-6.75,44479,105014
1985-06-01,ZCY00,282.25,289,276,276,-5.5,49883,102616
1985-07-01,ZCY00,274.5,285,260,260,-16,58751,109873
1985-08-01,ZCY00,260,266.75,254.75,261.75,1.75,49881,125583
1985-09-01,ZCY00,267.25,270,236.75,240.75,-21,52588,127951
1985-10-01,ZCY00,245.5,248.75,221.75,234.75,-6,45185,127419
1985-11-01,ZCY00,235.5,253.5,234.5,250.75,16,70900,143213
1985-12-01,ZCY00,252.75,254.25,248,254.25,3.5,42816,131361
1986-01-01,ZCY00,253.5,254.5,247,252,-2.25,49616,120670
1986-02-01,ZCY00,252,253.25,236,236,-16,45334,112549
1986-03-01,ZCY00,237.5,252,236.25,251.75,15.75,41967,103823
1986-04-01,ZCY00,251.75,251.75,244.75,251.75,0,51562,114533
1986-05-01,ZCY00,245.75,264.25,245.75,263,11.25,57696,109794
1986-06-01,ZCY00,265,265,233.25,233.25,-29.75,45330,117206
1986-07-01,ZCY00,219.75,221.5,195.25,195.25,-38,47367,114815
1986-08-01,ZCY00,194.5,194.5,155.25,155.25,-40,42227,121543
1986-09-01,ZCY00,153,163,143.75,160.75,5.5,47356,124340
1986-10-01,ZCY00,161,162.5,143,161.25,0.5,53968,142422
1986-11-01,ZCY00,163.25,174.75,163.25,174.75,13.5,54542,154631
